11:32:50:310[MetricValue{metricKey='cpuuser', value='69.387755', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='28.571429', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.040816', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:51:480[MetricValue{metricKey='cpuuser', value='80.851064', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='19.148936', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:52:185[MetricValue{metricKey='cpuuser', value='85.714286', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='11.904762', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.380952', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:52:830[MetricValue{metricKey='cpuuser', value='80.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:53:443[MetricValue{metricKey='cpuuser', value='77.551020', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.408163', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.040816', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:54:112[MetricValue{metricKey='cpuuser', value='79.591837', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.408163', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:54:773[MetricValue{metricKey='cpuuser', value='80.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:55:364[MetricValue{metricKey='cpuuser', value='91.836735', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='8.163265', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:55:921[MetricValue{metricKey='cpuuser', value='67.346939', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='32.653061', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:56:522[MetricValue{metricKey='cpuuser', value='76.190476', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='21.428571', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.380952', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:32:57:285[MetricValue{metricKey='cpuuser', value='76.595745', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='19.148936', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.255319', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
