11:32:50:310[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:51:480[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:52:185[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:52:830[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:53:443[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:54:112[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:54:773[MetricValue{metricKey='load1', value='1.760000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.650000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.380000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:55:363[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:55:920[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:56:522[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:57:285[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:57:896[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:58:468[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:59:269[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:32:59:884[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.720000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.400000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:00:547[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:01:142[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:01:745[MetricValue{metricKey='load1', value='2.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.410000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
