11:32:50:292[MetricValue{metricKey='freepct-/', value='24.385293', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923348.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:51:480[MetricValue{metricKey='freepct-/', value='24.384893', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923300.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:52:185[MetricValue{metricKey='freepct-/', value='24.384893', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923300.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:52:830[MetricValue{metricKey='freepct-/', value='24.384893', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923300.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:53:443[MetricValue{metricKey='freepct-/', value='24.384860', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923296.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:54:112[MetricValue{metricKey='freepct-/', value='24.384860', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923296.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:54:773[MetricValue{metricKey='freepct-/', value='24.384860', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923296.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:55:363[MetricValue{metricKey='freepct-/', value='24.384726', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923280.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:55:920[MetricValue{metricKey='freepct-/', value='24.384626', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923268.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:56:522[MetricValue{metricKey='freepct-/', value='24.384626', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923268.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:32:57:260[MetricValue{metricKey='freepct-/', value='24.384626', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2923268.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
