11:32:50:310[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319193.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286338048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:51:481[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319193.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286338048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:52:185[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319193.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286338048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:52:831[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319193.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286338048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:53:443[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319193.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286338048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:54:112[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319203.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286379008.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:54:775[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319203.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286379008.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:55:364[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319203.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286379008.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:55:921[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319203.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286379008.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:56:522[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319203.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286379008.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:32:57:285[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319203.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2286379008.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
