11:32:50:310[MetricValue{metricKey='ramfreepct', value='70.485455', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1881812992.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='29.514545', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2264182784.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:51:480[MetricValue{metricKey='ramfreepct', value='70.344871', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1875984384.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='29.655129', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2270011392.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:52:185[MetricValue{metricKey='ramfreepct', value='70.130882', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1867087872.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='29.869118', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2278907904.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:52:830[MetricValue{metricKey='ramfreepct', value='69.958388', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1859936256.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='30.041612', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2286059520.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:53:443[MetricValue{metricKey='ramfreepct', value='69.773248', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1852256256.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='30.226752', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2293739520.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:54:112[MetricValue{metricKey='ramfreepct', value='69.513024', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1841467392.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='30.486976', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2304528384.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:54:774[MetricValue{metricKey='ramfreepct', value='69.094730', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1824124928.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='30.905270', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2321870848.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:55:364[MetricValue{metricKey='ramfreepct', value='68.897339', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1815924736.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='31.102661', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2330071040.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:55:921[MetricValue{metricKey='ramfreepct', value='68.615479', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1804226560.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='31.384521', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2341769216.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:56:522[MetricValue{metricKey='ramfreepct', value='68.450197', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1797373952.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='31.549803', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2348621824.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:32:57:285[MetricValue{metricKey='ramfreepct', value='68.661913', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1806151680.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='31.338087', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2339844096.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
