11:32:50:310[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:51:481[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:52:185[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:52:830[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:53:443[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:54:112[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:54:774[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:55:364[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:55:921[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:56:522[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:32:57:285[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
