11:33:14:601[MetricValue{metricKey='cpuuser', value='79.591837', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='18.367347', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='2.040816', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:15:358[MetricValue{metricKey='cpuuser', value='73.170732', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='24.390244', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='2.439024', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:15:920[MetricValue{metricKey='cpuuser', value='75.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.500000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='2.500000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:16:475[MetricValue{metricKey='cpuuser', value='85.714286', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='14.285714', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:17:039[MetricValue{metricKey='cpuuser', value='82.352941', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='15.686275', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='1.960784', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:17:587[MetricValue{metricKey='cpuuser', value='81.632653', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='18.367347', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:18:183[MetricValue{metricKey='cpuuser', value='79.166667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='18.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.083333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:18:839[MetricValue{metricKey='cpuuser', value='69.565217', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='23.913043', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.173913', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='4.347826', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:19:423[MetricValue{metricKey='cpuuser', value='60.416667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='37.500000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.083333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:20:035[MetricValue{metricKey='cpuuser', value='84.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='14.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:20:635[MetricValue{metricKey='cpuuser', value='53.333333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='17.777778', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='6.666667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='22.222222', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:21:251[MetricValue{metricKey='cpuuser', value='60.869565', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='23.913043', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.347826', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='10.869565', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:21:809[MetricValue{metricKey='cpuuser', value='58.333333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.833333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='2.083333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='18.750000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:22:380[MetricValue{metricKey='cpuuser', value='72.916667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='20.833333', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='6.250000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:22:942[MetricValue{metricKey='cpuuser', value='82.352941', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='9.803922', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='7.843137', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
11:33:23:520[MetricValue{metricKey='cpuuser', value='79.166667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpusystem', value='16.666667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpunice', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuwait', value='4.166667', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='cpuidle', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}]
