11:33:14:601[MetricValue{metricKey='load1', value='2.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='0.880000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.460000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:15:357[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:15:920[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:16:475[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:17:039[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:17:587[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:18:183[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:18:839[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:19:423[MetricValue{metricKey='load1', value='2.990000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.020000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:20:035[MetricValue{metricKey='load1', value='2.910000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.040000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
11:33:20:635[MetricValue{metricKey='load1', value='2.910000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load5', value='1.040000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}, MetricValue{metricKey='load15', value='0.510000', warningRange='', criticalRange='', minValue='0.000000', maxValue=''}]
