11:33:14:601[MetricValue{metricKey='freepct-/', value='24.380856', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922816.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:15:357[MetricValue{metricKey='freepct-/', value='24.380455', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922768.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:15:919[MetricValue{metricKey='freepct-/', value='24.380455', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922768.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:16:475[MetricValue{metricKey='freepct-/', value='24.380455', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922768.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:17:039[MetricValue{metricKey='freepct-/', value='24.380422', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922764.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:17:587[MetricValue{metricKey='freepct-/', value='24.380422', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922764.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:18:183[MetricValue{metricKey='freepct-/', value='24.380422', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922764.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:18:838[MetricValue{metricKey='freepct-/', value='24.380289', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922748.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:19:423[MetricValue{metricKey='freepct-/', value='24.379988', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922712.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:20:035[MetricValue{metricKey='freepct-/', value='24.377719', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2922440.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
11:33:20:635[MetricValue{metricKey='freepct-/', value='24.372047', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/', value='2921760.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='11988160.000000'}, MetricValue{metricKey='freepct-/boot', value='85.852298', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='freespace-/boot', value='206880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='240972.000000'}]
