11:33:14:601[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319388.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287353856.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:15:358[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:15:920[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:16:476[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:17:039[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:17:587[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:18:184[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:18:839[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:19:423[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319419.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287480832.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:20:048[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
11:33:20:635[MetricValue{metricKey='reads-/dev/mapper/ubuntu--vg-root', value='29223.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/mapper/ubuntu--vg-root', value='723330048.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/mapper/ubuntu--vg-root', value='319482.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/mapper/ubuntu--vg-root', value='2287738880.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='reads-/dev/sda1', value='659.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='readbytes-/dev/sda1', value='17259520.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writes-/dev/sda1', value='7.000000', warningRange='', criticalRange='', minValue='', maxValue=''}, MetricValue{metricKey='writebytes-/dev/sda1', value='13312.000000', warningRange='', criticalRange='', minValue='', maxValue=''}]
