11:33:14:601[MetricValue{metricKey='ramfreepct', value='66.663703', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1723097088.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='33.336297', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2422898688.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:15:358[MetricValue{metricKey='ramfreepct', value='66.651551', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1722564608.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='33.348449', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2423431168.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:15:920[MetricValue{metricKey='ramfreepct', value='66.554931', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1718558720.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='33.445069', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2427437056.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:16:475[MetricValue{metricKey='ramfreepct', value='66.306463', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1708257280.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='33.693537', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2437738496.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:17:039[MetricValue{metricKey='ramfreepct', value='66.113617', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1700257792.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='33.886383', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2445737984.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:17:587[MetricValue{metricKey='ramfreepct', value='66.067876', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1698361344.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='33.932124', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2447634432.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:18:184[MetricValue{metricKey='ramfreepct', value='66.052562', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1697726464.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='33.947438', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2448269312.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:18:839[MetricValue{metricKey='ramfreepct', value='65.985580', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1694949376.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.014420', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2451046400.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:19:423[MetricValue{metricKey='ramfreepct', value='65.496648', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1674498048.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.503352', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2471497728.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:20:035[MetricValue{metricKey='ramfreepct', value='65.483508', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1673613312.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.516492', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2472382464.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:20:635[MetricValue{metricKey='ramfreepct', value='65.475407', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1673277440.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.524593', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2472718336.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:21:251[MetricValue{metricKey='ramfreepct', value='65.476889', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1673342976.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.523111', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2472652800.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:21:809[MetricValue{metricKey='ramfreepct', value='65.400126', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1670082560.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.599874', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2475913216.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:22:380[MetricValue{metricKey='ramfreepct', value='65.379676', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1669230592.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.620324', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2476765184.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:22:942[MetricValue{metricKey='ramfreepct', value='65.365351', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1668632576.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.634649', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2477363200.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:23:520[MetricValue{metricKey='ramfreepct', value='65.337491', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1667477504.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.662509', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2478518272.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:24:093[MetricValue{metricKey='ramfreepct', value='65.247786', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1663746048.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.752214', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2482249728.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:24:676[MetricValue{metricKey='ramfreepct', value='65.207181', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1662062592.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.792819', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2483933184.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:25:270[MetricValue{metricKey='ramfreepct', value='65.184952', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1661140992.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.815048', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2484854784.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:25:855[MetricValue{metricKey='ramfreepct', value='65.150770', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1659723776.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.849230', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2486272000.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:26:417[MetricValue{metricKey='ramfreepct', value='65.130023', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1658855424.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.869977', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2487140352.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:27:013[MetricValue{metricKey='ramfreepct', value='65.114018', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1658187776.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.885982', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2487808000.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:27:629[MetricValue{metricKey='ramfreepct', value='65.110165', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1658028032.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.889835', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2487967744.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:28:236[MetricValue{metricKey='ramfreepct', value='65.084874', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1656954880.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.915126', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2489040896.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:28:808[MetricValue{metricKey='ramfreepct', value='65.010581', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1653563392.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.989419', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2492432384.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:29:403[MetricValue{metricKey='ramfreepct', value='65.005740', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1653252096.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.994260', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2492743680.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:30:046[MetricValue{metricKey='ramfreepct', value='65.005542', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1653170176.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.994458', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2492825600.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:30:641[MetricValue{metricKey='ramfreepct', value='65.003072', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1653067776.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.996928', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2492928000.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:31:241[MetricValue{metricKey='ramfreepct', value='65.018781', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1653641216.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.981219', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2492354560.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
11:33:31:803[MetricValue{metricKey='ramfreepct', value='65.014829', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramfreespace', value='1653477376.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}, MetricValue{metricKey='ramusedpct', value='34.985171', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='ramusedspace', value='2492518400.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='4145995776.000000'}]
