11:33:14:601[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:15:358[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:15:920[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:16:476[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:17:039[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:17:587[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:18:184[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:18:839[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:19:423[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:20:048[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
11:33:20:635[MetricValue{metricKey='swapusedpct', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapusedspace', value='0.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}, MetricValue{metricKey='swapfreepct', value='100.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='100.000000'}, MetricValue{metricKey='swapfreespace', value='8585736192.000000', warningRange='', criticalRange='', minValue='0.000000', maxValue='8585736192.000000'}]
